material_name,material_type,strength_rating,weight_capacity,biodegradability_score,recyclability_percentage,co2_emission_score,cost_per_unit
Corrugated Cardboard,Paper,7,20,8,85,4.2,12
Kraft Paper,Paper,6,15,9,88,3.9,11
Recycled Paperboard,Paper,6,18,9,90,3.8,10
Molded Pulp,Pulp,8,25,9,95,3.1,14
Bagasse Fiber,Natural Fiber,6,18,10,85,2.9,15
Bamboo Fiber Packaging,Natural Fiber,7,22,9,80,3.5,16
Hemp Fiber Board,Natural Fiber,8,30,9,78,3.3,18
Biodegradable PLA,Bioplastic,9,28,7,65,5.1,19
Compostable PBAT,Bioplastic,8,26,8,70,4.8,17
Starch-Based Plastic,Bioplastic,7,24,8,72,4.6,16
Recycled PET,Plastic,9,35,3,85,6.0,20
HDPE Recycled,Plastic,8,40,2,90,6.5,22
LDPE Recycled,Plastic,7,32,2,88,6.3,21
Reusable Plastic Crate,Plastic,10,50,2,40,7.8,25
Glass Bottle,Glass,9,40,1,30,8.5,22
Tempered Glass Packaging,Glass,10,45,1,28,8.9,26
Aluminum Can,Metal,8,35,3,75,6.2,20
Tin Container,Metal,9,38,2,70,6.8,23
Steel Packaging,Metal,10,55,1,68,7.5,28
Wooden Crate,Wood,8,45,6,60,4.7,24
Plywood Box,Wood,9,50,5,55,5.2,27
Cornstarch Packaging,Biopolymer,7,20,9,82,3.6,15
Seaweed Packaging,Biopolymer,6,18,10,88,2.8,17
Mushroom Packaging,Biopolymer,7,22,10,92,2.5,19
Palm Leaf Packaging,Natural Fiber,6,15,10,85,3.0,14
