material_name,material_type,strength_rating,weight_capacity,biodegradability_score,recyclability_percentage,co2_emission_score,cost_per_unit
Recycled Paperboard,Paper,7.0,17.85,9.0,91.57,4.56,10.57
Palm Leaf Packaging,Natural Fiber,6.0,14.36,10.0,85.64,2.76,14.89
Bamboo Fiber Packaging,Natural Fiber,7.0,21.9,8.0,80.04,2.47,16.49
Recycled Paperboard,Paper,5.0,17.13,9.0,91.24,2.47,7.85
Tin Container,Metal,8.0,37.27,2.0,71.62,6.53,30.11
Compostable PBAT,Bioplastic,8.0,27.44,8.0,74.79,4.95,19.2
Starch-Based Plastic,Bioplastic,7.0,21.13,8.0,66.83,5.12,15.49
Seaweed Packaging,Biopolymer,6.0,19.56,10.0,87.45,1.0,17.02
Wooden Crate,Wood,9.0,45.49,6.0,60.01,5.13,28.99
Glass Bottle,Glass,9.0,40.17,2.0,28.35,9.32,24.34
Corrugated Cardboard,Paper,6.0,19.4,8.0,87.9,3.12,10.29
Recycled PET,Plastic,9.0,35.02,3.0,87.54,7.0,18.15
Aluminum Can,Metal,8.0,35.48,3.0,78.49,7.92,21.56
Bamboo Fiber Packaging,Natural Fiber,7.0,21.01,10.0,80.61,2.69,17.79
Cornstarch Packaging,Biopolymer,7.0,19.76,9.0,86.07,1.98,16.44
Recycled PET,Plastic,10.0,36.51,4.0,86.0,6.74,24.1
Biodegradable PLA,Bioplastic,10.0,26.9,7.0,65.22,4.86,20.45
LDPE Recycled,Plastic,6.0,27.82,2.0,85.74,8.85,27.41
Hemp Fiber Board,Natural Fiber,8.0,27.72,9.0,78.56,3.93,15.32
Molded Pulp,Pulp,7.0,23.44,9.0,92.11,2.23,15.3
Glass Bottle,Glass,9.0,37.37,1.0,26.49,12.47,25.89
Hemp Fiber Board,Natural Fiber,8.0,31.24,9.0,75.63,2.82,16.02
Plywood Box,Wood,9.0,48.0,5.0,57.6,6.12,31.48
Recycled Paperboard,Paper,6.0,17.2,9.0,92.27,2.7,8.05
Molded Pulp,Pulp,7.0,26.53,8.0,95.33,2.54,10.88
Starch-Based Plastic,Bioplastic,7.0,21.4,8.0,70.37,4.34,13.56
Hemp Fiber Board,Natural Fiber,8.0,29.43,9.0,77.94,1.98,19.11
Bagasse Fiber,Natural Fiber,7.0,18.81,10.0,86.4,3.3,15.29
Starch-Based Plastic,Bioplastic,7.0,23.92,8.0,71.63,4.62,19.26
Molded Pulp,Pulp,8.0,27.07,8.0,93.16,2.49,14.6
Recycled PET,Plastic,8.0,35.75,4.0,78.75,5.41,20.8
Recycled PET,Plastic,9.0,34.76,3.0,86.29,6.53,21.73
Reusable Plastic Crate,Plastic,9.0,54.09,2.0,41.23,8.07,22.92
Tempered Glass Packaging,Glass,10.0,48.46,1.0,29.27,10.9,30.37
Bamboo Fiber Packaging,Natural Fiber,7.0,21.26,9.0,80.58,1.94,11.99
Corrugated Cardboard,Paper,6.0,17.59,8.0,84.15,4.6,11.91
Recycled PET,Plastic,8.0,28.28,3.0,83.22,6.79,21.62
Cornstarch Packaging,Biopolymer,8.0,21.28,9.0,82.39,4.99,19.66
Bagasse Fiber,Natural Fiber,7.0,18.46,10.0,84.12,2.38,16.64
LDPE Recycled,Plastic,8.0,35.03,3.0,88.51,6.42,19.94
Glass Bottle,Glass,9.0,39.68,1.0,35.69,10.76,25.4
Kraft Paper,Paper,6.0,14.73,9.0,89.25,5.11,13.47
Reusable Plastic Crate,Plastic,10.0,53.14,2.0,45.21,8.71,25.71
HDPE Recycled,Plastic,8.0,39.85,2.0,91.12,8.12,26.33
Compostable PBAT,Bioplastic,8.0,22.02,8.0,73.1,5.74,20.67
Recycled PET,Plastic,9.0,38.06,3.0,87.03,7.81,24.25
Molded Pulp,Pulp,7.0,22.2,9.0,93.25,3.21,16.44
Molded Pulp,Pulp,9.0,26.78,9.0,97.96,1.88,14.19
Kraft Paper,Paper,6.0,14.83,9.0,84.78,5.24,12.96
Tempered Glass Packaging,Glass,10.0,45.8,1.0,26.39,10.76,28.72
LDPE Recycled,Plastic,7.0,32.6,2.0,84.6,6.56,24.79
HDPE Recycled,Plastic,8.0,36.38,2.0,90.41,8.5,19.0
Bagasse Fiber,Natural Fiber,6.0,19.67,10.0,84.06,2.96,16.73
Plywood Box,Wood,9.0,52.99,5.0,50.76,5.6,30.24
Wooden Crate,Wood,8.0,49.64,6.0,63.92,2.66,26.23
Steel Packaging,Metal,10.0,49.91,1.0,72.1,8.94,34.08
Glass Bottle,Glass,9.0,40.03,1.0,29.69,11.06,23.21
Recycled PET,Plastic,9.0,37.66,3.0,86.76,5.02,18.02
Wooden Crate,Wood,7.0,47.52,6.0,58.62,2.04,22.96
Corrugated Cardboard,Paper,7.0,20.99,7.0,90.41,4.32,14.52
Tin Container,Metal,9.0,40.73,2.0,71.24,8.83,31.49
Bagasse Fiber,Natural Fiber,6.0,17.23,10.0,80.37,2.18,14.39
Biodegradable PLA,Bioplastic,10.0,25.25,6.0,58.24,5.33,21.61
Biodegradable PLA,Bioplastic,9.0,26.04,7.0,66.14,5.78,21.86
Steel Packaging,Metal,10.0,54.4,1.0,72.33,10.67,30.98
Corrugated Cardboard,Paper,7.0,20.57,8.0,86.97,2.29,9.66
Corrugated Cardboard,Paper,8.0,21.38,9.0,81.66,3.41,8.28
Aluminum Can,Metal,9.0,34.36,2.0,74.67,8.02,23.37
Hemp Fiber Board,Natural Fiber,8.0,30.96,8.0,77.89,2.91,18.98
LDPE Recycled,Plastic,7.0,35.47,3.0,92.82,6.95,21.88
Reusable Plastic Crate,Plastic,10.0,50.27,2.0,41.51,8.56,25.66
Tempered Glass Packaging,Glass,10.0,49.44,1.0,20.0,12.0,28.69
Biodegradable PLA,Bioplastic,9.0,28.55,7.0,65.04,5.64,23.06
Molded Pulp,Pulp,8.0,25.82,9.0,92.32,4.38,16.22
Kraft Paper,Paper,6.0,16.05,9.0,87.53,2.75,9.6
Seaweed Packaging,Biopolymer,6.0,18.25,10.0,90.12,1.07,16.99
Aluminum Can,Metal,8.0,39.44,3.0,72.81,7.13,19.59
Cornstarch Packaging,Biopolymer,8.0,21.35,9.0,84.06,2.11,15.58
Starch-Based Plastic,Bioplastic,6.0,24.21,8.0,71.6,5.0,11.48
Biodegradable PLA,Bioplastic,9.0,30.31,7.0,62.13,5.28,21.67
Kraft Paper,Paper,6.0,13.71,9.0,88.21,3.46,11.82
Hemp Fiber Board,Natural Fiber,9.0,31.49,9.0,77.8,3.71,17.21
Kraft Paper,Paper,6.0,15.62,9.0,88.05,2.92,11.82
Compostable PBAT,Bioplastic,7.0,26.54,9.0,72.52,6.45,18.6
Plywood Box,Wood,10.0,48.95,5.0,51.76,4.78,28.02
Biodegradable PLA,Bioplastic,9.0,24.38,7.0,65.39,5.18,21.43
Aluminum Can,Metal,8.0,34.54,3.0,76.03,4.79,29.14
Tempered Glass Packaging,Glass,10.0,51.64,2.0,26.95,11.39,33.7
Wooden Crate,Wood,6.0,41.9,6.0,63.65,3.28,28.6
Reusable Plastic Crate,Plastic,10.0,44.3,3.0,38.1,8.85,28.54
Corrugated Cardboard,Paper,8.0,18.82,8.0,78.87,2.82,7.74
Cornstarch Packaging,Biopolymer,7.0,18.38,8.0,80.26,2.41,19.14
HDPE Recycled,Plastic,8.0,34.8,2.0,89.42,7.11,23.68
Tin Container,Metal,9.0,42.27,2.0,73.36,7.84,28.56
Aluminum Can,Metal,8.0,35.14,3.0,71.42,7.89,26.25
Compostable PBAT,Bioplastic,8.0,27.03,8.0,63.82,4.01,21.4
Recycled Paperboard,Paper,6.0,18.45,9.0,91.21,4.62,13.35
Palm Leaf Packaging,Natural Fiber,6.0,15.54,10.0,86.38,4.11,13.94
Molded Pulp,Pulp,8.0,22.37,8.0,91.84,2.75,15.37
Molded Pulp,Pulp,8.0,26.78,9.0,98.3,2.93,15.55
Palm Leaf Packaging,Natural Fiber,5.0,13.5,10.0,83.56,2.31,14.35
Molded Pulp,Pulp,8.0,22.67,9.0,94.35,1.96,10.14
Palm Leaf Packaging,Natural Fiber,6.0,15.43,10.0,90.16,1.95,16.28
Hemp Fiber Board,Natural Fiber,8.0,30.29,9.0,76.57,2.0,19.32
Recycled Paperboard,Paper,5.0,16.62,8.0,88.81,2.42,14.7
Bagasse Fiber,Natural Fiber,6.0,17.52,10.0,79.67,2.55,12.48
Molded Pulp,Pulp,8.0,26.08,9.0,91.29,2.88,13.15
Kraft Paper,Paper,6.0,15.86,10.0,88.85,2.74,7.92
HDPE Recycled,Plastic,7.0,40.52,2.0,88.03,6.62,24.63
Palm Leaf Packaging,Natural Fiber,5.0,14.63,10.0,83.79,2.47,14.03
Kraft Paper,Paper,5.0,12.91,10.0,92.14,4.18,10.28
Bagasse Fiber,Natural Fiber,6.0,14.43,10.0,82.1,2.52,16.49
Recycled PET,Plastic,10.0,37.32,3.0,89.07,5.47,22.41
Reusable Plastic Crate,Plastic,8.0,34.43,2.0,35.0,9.38,27.46
Biodegradable PLA,Bioplastic,8.0,29.74,7.0,60.45,4.04,19.35
Reusable Plastic Crate,Plastic,10.0,44.38,2.0,44.49,9.09,27.98
Glass Bottle,Glass,9.0,40.07,1.0,23.59,10.87,26.76
Recycled PET,Plastic,9.0,34.24,2.0,83.28,8.14,18.46
Tempered Glass Packaging,Glass,10.0,47.27,1.0,24.31,11.18,27.38
HDPE Recycled,Plastic,8.0,43.28,2.0,92.4,8.88,25.91
Bagasse Fiber,Natural Fiber,6.0,16.52,10.0,81.42,3.25,14.36
LDPE Recycled,Plastic,7.0,30.86,2.0,89.31,7.81,19.86
Kraft Paper,Paper,5.0,12.45,8.0,88.53,2.93,12.19
Recycled PET,Plastic,8.0,32.88,3.0,91.2,6.82,18.12
Hemp Fiber Board,Natural Fiber,8.0,31.55,9.0,74.28,2.12,18.08
Recycled Paperboard,Paper,6.0,15.08,8.0,92.41,4.62,7.85
Molded Pulp,Pulp,8.0,24.62,8.0,93.7,2.27,16.75
Biodegradable PLA,Bioplastic,8.0,27.0,7.0,67.95,4.05,18.75
Palm Leaf Packaging,Natural Fiber,6.0,15.09,10.0,83.47,4.07,15.54
Tempered Glass Packaging,Glass,9.0,46.33,1.0,30.89,10.94,27.14
Molded Pulp,Pulp,8.0,26.75,9.0,96.66,4.15,15.17
Biodegradable PLA,Bioplastic,9.0,26.95,8.0,66.58,5.94,17.33
Biodegradable PLA,Bioplastic,9.0,28.55,7.0,69.38,6.08,24.31
Palm Leaf Packaging,Natural Fiber,5.0,15.39,10.0,88.61,3.11,13.97
Tin Container,Metal,9.0,38.95,2.0,69.03,8.27,26.36
Glass Bottle,Glass,10.0,39.31,1.0,33.76,9.1,24.21
Recycled PET,Plastic,9.0,32.87,3.0,79.77,7.65,22.94
LDPE Recycled,Plastic,7.0,29.14,2.0,84.37,6.48,24.27
Cornstarch Packaging,Biopolymer,8.0,18.52,9.0,81.4,4.24,16.14
Molded Pulp,Pulp,9.0,24.75,9.0,93.31,3.2,13.11
Wooden Crate,Wood,8.0,40.69,6.0,59.39,3.38,26.96
